id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_1	C3H3ClN2O2S2	[M + H]+	C3H3ClN2O2S2	Amino acids and Peptides	0.44546014070510864	Small peptides	0.6728379130363464	Aminoacids	0.5006318688392639	Organosulfonic acids and derivatives	0.5148659944534302			Organosulfonic acids and derivatives	0.5148659944534302	Organic sulfonic acids and derivatives	0.5116146802902222	Organic acids and derivatives	0.7302275896072388	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Alkyl chlorides; Sulfonyl chlorides; Organochlorides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1
2_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_2	C7H5BrO3	[M + H]+	C7H5BrO3	Shikimates and Phenylpropanoids	0.9697391390800476	Phenolic acids (C6-C1)	0.9724418520927429	Simple phenolic acids	0.9110327959060669	3-halobenzoic acids	0.6781712174415588	Halobenzoic acids and derivatives	0.28935402631759644	Benzoic acids and derivatives	0.5307175517082214	Benzene and substituted derivatives	0.9821867942810059	Benzenoids	0.9940696954727173	Organic compounds; Halobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Benzoyl derivatives; Organooxygen compounds; Aryl bromides; Bromobenzenes; Carboxylic acids; Organobromides; Carbonyl compounds; Benzene and substituted derivatives; Halophenols; Benzenoids; Benzoic acids; Bromophenols; Aryl halides; Halobenzoic acids; 3-halobenzoic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2
3_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_3	C5H3N3O6	[M + K]+	C5H3N3O6	Alkaloids	0.47488778829574585	Pseudoalkaloids	0.21028845012187958	Purine alkaloids	0.28494885563850403	Nitroaromatic compounds	0.8188722729682922	C-nitro compounds	0.8757181167602539	Organic nitro compounds	0.895064115524292	Allyl-type 1,3-dipolar organic compounds	0.9267939925193787	Organic 1,3-dipolar compounds	0.8889992237091064	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; 1,3-dicarbonyl compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Organic nitro compounds; Diazines; Organic oxoazanium compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	3
4_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_4	C6H9N3O3S	[M + K]+	C6H9N3O3S	Amino acids and Peptides	0.42682912945747375	Small peptides	0.33171409368515015	Aminoacids	0.2548484206199646	N-acetylarylamines	0.7989097237586975	N-acetylarylamines	0.7989097237586975	N-arylamides	0.8993263840675354	Organonitrogen compounds	0.9999914169311523	Organic nitrogen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Sulfonyls; Organosulfonamides; Secondary carboxylic acid amides; Carbonyl compounds; Aminosulfonyl compounds; N-arylamides; Organic 1,3-dipolar compounds; Acetamides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; N-acetylarylamines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	4
5_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_5	C9H10Cl2N2O3	[M + H]+	C9H10Cl2N2O3	Alkaloids	0.5391994118690491	Small peptides	0.4544467031955719	Aminoacids	0.3084460198879242	Nitrobenzenes	0.008546666242182255			Nitrobenzenes	0.008546666242182255	Benzene and substituted derivatives	0.943452000617981	Benzenoids	0.9860299229621887	Organic compounds; Halobenzenes; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl chlorides; Aryl chlorides; Chlorobenzenes; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Dichlorobenzenes; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	5
6_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_6	C9H20N2O2	[M + H]+	C9H20N2O2	Amino acids and Peptides	0.6187500953674316	Small peptides	0.7929090857505798	Aminoacids	0.7226595282554626	Alpha amino acids	0.18916074931621552	Amino acids and derivatives	0.9986246824264526	Amino acids, peptides, and analogues	0.9985777139663696	Carboxylic acids and derivatives	0.9979583024978638	Organic acids and derivatives	0.9978448152542114	Organic compounds; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Medium-chain fatty acids; Organic cations; Organic oxides; Hydrocarbon derivatives; Amino acids; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	6
16_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_16	C8H9ClN4O2	[M + Na]+	C8H9ClN4O2	Alkaloids	0.9754679799079895	Pseudoalkaloids	0.3115248680114746	Simple amide alkaloids	0.44866418838500977	Chlorophenols	0.5061067938804626	Chlorophenols	0.5061067938804626	Halophenols	0.5700126886367798	Phenols	0.297139436006546	Benzenoids	0.8769451975822449	Organic compounds; Halobenzenes; Imines; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Guanidines; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Halophenols; Benzenoids; Chlorophenols; Aryl halides; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	16
17_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_17	C8H7BrN2O	[M - H2O + H]+	C8H5BrN2	Alkaloids	0.9395599961280823	Nicotinic acid alkaloids	0.6450496912002563	Pyridine alkaloids	0.574262797832489	Benzodiazines	0.5896351933479309			Benzodiazines	0.5896351933479309	Diazanaphthalenes	0.4016563296318054	Organoheterocyclic compounds	0.9833089709281921	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl bromides; Organobromides; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Benzodiazines; Chemical entities	17
18_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_18	C6H14N4O2	[M + K]+	C6H14N4O2	Amino acids and Peptides	0.9997840523719788	Small peptides	0.9997674822807312	Aminoacids	0.9964619278907776	L-alpha-amino acids	0.5335782170295715	Amino acids and derivatives	0.9997969269752502	Amino acids, peptides, and analogues	0.9997931122779846	Carboxylic acids and derivatives	0.9999146461486816	Organic acids and derivatives	0.9998960494995117	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	18
20_0bfaeea3f91a314c1b0296ca0294e0acab4f226c_sirius_20	C8H20NO6P	[M + K]+	C8H20NO6P	Fatty acids	0.6569988131523132	Glycerophospholipids	0.9132000207901001	Glycerophosphocholines	0.9543734788894653	Phosphocholines	0.9996650218963623	Cholines	0.9999409914016724	Quaternary ammonium salts	0.9999544620513916	Organonitrogen compounds	0.999972939491272	Organic nitrogen compounds	0.9999889135360718	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	20
