	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	score_input	libname	short_inchikey	structure_smiles_2D	structure_molecular_formula	adduct	structure_exact_mass	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	otl_organism_otol_species	lowest_matched_taxon	score_taxo	score_max_consistency	final_score	rank_final
42575	824	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	46.0	0.2958078	ISDB	RLQBAGQABRADHE	CCCCCCCCC=CCCCCCCCC(=O)CCCCc1ccc(O)c(O)c1	C28H46O3		430.344695332	Polyketides	Aromatic polyketides	Catechols with side chains	['Verbascum bombyciferum']	['Lamiales']	5	0	6.183231234550476	1
42571	822	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	2.0	0.21994239	ISDB	BIXWVSLNTIFDQN	Cc1c(O)cc2c(c1C)OC(C)(CCCC(C)CCCC(C)CCCC(C)C)C=C2	C28H46O2		414.349780712	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	['Verbascum bombyciferum']	['Streptophyta']	4	1	5.379769563674927	1
42289	814	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	15.0	0.26339182	ISDB	XUGISPSHIFXEHZ	CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1	C29H48O2		428.3654307759999	Terpenoids	Steroids	Cholestane steroids	['Verbascum bombyciferum']	['Lamiales']	5	1	6.553567290306091	1
42268	804	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	8.0	0.37164322	ISDB	NSOPGAYUGBZWHL	CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCC=CCC=CCC=CCC	C39H64O5		612.475375148	Fatty acids	Glycerolipids	Triacylglycerols	['Verbascum bombyciferum']	['Streptophyta']	4	0	5.486572861671448	1
42044	803	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	15.0	0.6000756	ISDB	PSFGNZBYXOCWDG	COCC=C(C)CCC=C(CCC=C(C)CCC=C(C)C)C(=O)O	C21H34O3		334.250794948	Terpenoids	Monoterpenoids	Acyclic monoterpenoids	['Verbascum bombyciferum']	['Streptophyta']	4	2	7.400302410125732	1
41981	801	-1							30.0	0.20545842	ISDB	SVHAKFJIIYNECQ	CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC43C)C2O)C1	C29H48O4		460.355260016	Terpenoids	Triterpenoids	Oleanane triterpenoids	['Verbascum bombyciferum']	['Lamiales']	5	0	5.821833670139313	1
41966	795	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	8.0	0.24991551	ISDB	NSOPGAYUGBZWHL	CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCC=CCC=CCC=CCC	C39H64O5		612.475375148	Fatty acids	Glycerolipids	Triacylglycerols	['Verbascum bombyciferum']	['Streptophyta']	4	0	4.9996620416641235	1
41950	782	-1							1.0	0.5570907	ISDB	CDEBMQMYQOXDIK								['Verbascum bombyciferum']		0	0	2.228362798690796	1
41948	770	10	Terpenoids	0.3333333333333333	Sesquiterpenoids	0.16666666666666666	Bisabolane sesquiterpenoids	0.16666666666666666	1.0	0.41934225	ISDB	APGVHKPCMRXAPJ	CCCCCC=CCC=CCCCCCCCC(=O)OCC=Cc1cc(OC)c(OCC=C(C)CCC=C(C)C)c(OC)c1	C39H60O5		608.44407502				['Verbascum bombyciferum']	['Streptophyta']	4	0	5.677368998527527	1
41944	766	1	Terpenoids	0.23097112860892388	Monoterpenoids	0.12860892388451445	Iridoids monoterpenoids	0.08661417322834646	4.0	0.22205631	ISDB	MAIRBOUIUZTTQK	CCCCCCCCCCCCCC1=C(c2c(O)cc(O)cc2CCCCCCCCCCCCC)C(=O)C=C(OC)C1=O	C39H62O5		610.459725084	Polyketides	Aromatic polyketides	Catechols with side chains	['Verbascum bombyciferum']	['Streptophyta']	4	0	4.888225257396698	1
